tipo_celular,module_size,CSNK2A2_MM,CSNK2A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.087,6.0,102,53,51.96,3.26 (2.87-3.65),49,48.04,3.78 (3.14-4.42),3.58,2.44
T cells 18,506.0,0.134,26.0,225,18,8.0,3.83 (3.09-4.58),207,92.0,3.58 (3.32-3.85),2.98,8.33
astrocytes 5,1656.0,0.133,79.0,136,4,2.94,3.54 (2.43-4.66),132,97.06,3.20 (2.92-3.47),3.21,5.04
oligodendrocyte progenitor cells 7,4285.0,0.125,33.0,353,78,22.1,3.00 (2.64-3.36),275,77.9,4.24 (4.04-4.43),19.23,4.90
GABA neurons expressing GLU receptors 22,848.0,0.125,13.0,262,22,8.4,3.84 (3.03-4.66),240,91.6,4.20 (3.94-4.46),5.17,4.01
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.078,8.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.063,8.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,938.0,0.044,10.0,169,17,10.06,3.37 (2.73-4.01),152,89.94,3.50 (3.26-3.73),3.63,5.56
GABA like neurons 14,2402.0,0.088,6.0,455,61,13.41,3.96 (3.36-4.56),394,86.59,4.43 (4.24-4.61),14.06,8.03
astrocytes 8,603.0,0.028,3.0,89,4,4.49,1.39 (0.47-2.32),85,95.51,2.85 (2.49-3.21),5.22,6.08
oligodendrocyte progenitor cells 12,3303.0,0.038,6.0,276,60,21.74,2.89 (2.55-3.23),216,78.26,3.79 (3.53-4.05),10.99,3.48
oligodendrocytes 10,483.0,0.061,17.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82),2.60,19.32
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.074,37.0,105,40,38.1,3.05 (2.55-3.56),65,61.9,3.32 (2.87-3.77),5.95,2.76
oligodendrocytes 16,113.0,0.269,81.0,10,3,30.0,2.55 (1.82-3.29),7,70.0,3.11 (1.98-4.23),2.85,1.47
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.343,66.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,1807.0,0.138,37.0,104,34,32.69,2.35 (1.96-2.75),70,67.31,3.14 (2.78-3.50),9.83,3.24
oligodendrocytes 0,2078.0,0.127,77.0,238,21,8.82,3.52 (2.80-4.25),217,91.18,3.65 (3.42-3.88),7.06,4.83
microglia 1,1615.0,0.072,5.0,161,57,35.4,2.74 (2.32-3.17),104,64.6,3.67 (3.36-3.99),9.82,3.03
oligodendrocytes 3,187.0,0.044,2.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.158,82.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
