tipo_celular,module_size,DHX40_MM,DHX40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.104,31.0,136,3,2.21,2.65 (0.18-5.12),133,97.79,3.22 (2.95-3.49),5.27,4.98
oligodendrocyte progenitor cells 7,4285.0,0.104,12.0,353,8,2.27,2.31 (1.18-3.44),345,97.73,3.93 (3.74-4.12),12.24,7.97
GABA neurons expressing GLU receptors 22,567.0,0.173,42.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.12,42.0,133,2,1.5,1.39 (1.08-1.71),131,98.5,3.29 (2.97-3.60),4.32,4.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.09,12.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21),NA,10.65
oligodendrocytes 20,358.0,0.251,84.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.072,3.0,455,4,0.88,1.64 (0.53-2.75),451,99.12,4.37 (4.19-4.56),23.66,8.70
astrocytes 8,577.0,0.034,5.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,8,2.9,2.53 (1.46-3.60),268,97.1,3.58 (3.36-3.80),8.19,5.02
oligodendrocytes 10,735.0,0.021,1.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,145.0,0.388,89.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,367.0,0.182,74.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,64.0,0.124,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.355,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.125,18.0,104,6,5.77,1.84 (1.08-2.60),98,94.23,2.93 (2.64-3.22),4.98,5.42
oligodendrocytes 0,2078.0,0.087,7.0,238,2,0.84,3.85 (1.26-6.43),236,99.16,3.63 (3.41-3.86),7.06,5.01
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.056,13.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.125,20.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
