tipo_celular,module_size,PIGL_MM,PIGL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.292,89.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,727.0,0.175,74.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,932.0,0.131,78.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,25,7.08,2.49 (1.63-3.35),328,92.92,4.03 (3.85-4.21),25.67,6.72
GABA neurons expressing GLU receptors 22,1069.0,0.166,51.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.159,68.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.211,86.0,133,11,8.27,0.82 (0.56-1.08),122,91.73,3.52 (3.21-3.82),5.97,4.00
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.046,13.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.186,72.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.131,82.0,66,6,9.09,0.50 (0.30-0.70),60,90.91,3.55 (3.17-3.93),4.25,2.82
oligodendrocyte progenitor cells 12,3303.0,0.079,50.0,276,21,7.61,3.50 (2.66-4.34),255,92.39,3.55 (3.32-3.77),7.06,4.95
oligodendrocytes 10,2107.0,0.076,15.0,358,16,4.47,1.28 (0.61-1.95),342,95.53,4.03 (3.84-4.21),35.78,8.24
connective tissue cells 21,103.0,0.295,57.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401.0,0.046,13.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,91.0,0.164,25.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.252,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.168,80.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,479.0,0.104,11.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,346.0,0.05,0.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27),1.35,4.56
oligodendrocytes 3,639.0,0.066,22.0,15,9,60.0,3.03 (1.33-4.73),6,40.0,3.96 (1.48-6.43),2.53,1.75
oligodendrocytes 2,407.0,0.141,34.0,122,9,7.38,0.77 (0.48-1.07),113,92.62,3.60 (3.21-3.98),3.79,2.61
