tipo_celular,module_size,BRSK2_MM,BRSK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.089,12.0,136,5,3.68,2.67 (1.74-3.60),131,96.32,3.23 (2.95-3.51),3.71,5.04
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,67,18.98,2.73 (2.41-3.06),286,81.02,4.24 (4.04-4.44),14.91,6.46
GABA neurons expressing GLU receptors 22,848.0,0.107,7.0,262,68,25.95,4.31 (3.81-4.81),194,74.05,4.09 (3.81-4.36),4.90,3.83
GLU like neurons 17,1316.0,0.103,32.0,101,6,5.94,3.46 (2.88-4.03),95,94.06,3.02 (2.64-3.39),2.96,3.06
da like neurons 11,853.0,0.089,17.0,133,27,20.3,2.61 (1.97-3.24),106,79.7,3.46 (3.11-3.81),3.65,4.29
GABA neurons expressing GABA receptors 13,77.0,0.22,78.0,8,6,75.0,2.72 (1.45-4.00),2,25.0,4.02 (3.04-5.00),1.90,1.37
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.157,37.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2090.0,0.179,68.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33),3.66,10.69
astrocytes 8,520.0,0.077,29.0,288,49,17.01,4.01 (3.59-4.44),239,82.99,4.21 (3.99-4.44),6.13,4.39
oligodendrocyte progenitor cells 12,153.0,0.035,4.0,27,4,14.81,2.18 (-0.23-4.59),23,85.19,5.23 (4.36-6.10),1.85,2.20
oligodendrocytes 10,806.0,0.115,33.0,261,43,16.48,4.70 (4.09-5.31),218,83.52,4.28 (4.02-4.54),4.53,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.196,80.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18),3.19,1.73
oligodendrocytes 16,81.0,0.221,70.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,307.0,0.095,25.0,95,14,14.74,5.01 (4.16-5.86),81,85.26,4.82 (4.34-5.31),3.05,3.42
astrocytes microglia 23,109.0,0.345,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.174,94.0,104,23,22.12,2.41 (1.90-2.92),81,77.88,3.01 (2.68-3.33),7.77,4.72
oligodendrocytes 0,2078.0,0.099,20.0,238,17,7.14,2.77 (2.27-3.27),221,92.86,3.71 (3.48-3.94),6.83,4.88
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.047,4.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64),2.09,2.02
oligodendrocytes 2,1630.0,0.149,65.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
