tipo_celular,module_size,NEK4_MM,NEK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.106,34.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55),7.45,4.89
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,46,13.03,2.33 (2.03-2.64),307,86.97,4.21 (4.01-4.40),15.01,7.02
GABA neurons expressing GLU receptors 22,823.0,0.118,15.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,1316.0,0.1,28.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42),2.87,3.06
da like neurons 11,853.0,0.089,17.0,133,30,22.56,2.28 (1.89-2.67),103,77.44,3.61 (3.23-3.98),5.58,3.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.033,6.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.183,84.0,125,2,1.6,3.02 (2.98-3.06),123,98.4,3.36 (3.03-3.69),4.99,8.67
astrocytes 8,354.0,0.082,25.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.029,2.0,276,46,16.67,2.40 (2.12-2.68),230,83.33,3.86 (3.62-4.11),6.73,4.79
oligodendrocytes 10,2107.0,0.135,45.0,358,55,15.36,2.29 (2.02-2.57),303,84.64,4.27 (4.07-4.47),18.16,7.90
connective tissue cells 21,100.0,0.332,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.171,61.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83),1.77,1.85
oligodendrocytes 16,82.0,0.296,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.368,79.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,1807.0,0.166,86.0,104,20,19.23,1.82 (1.42-2.21),84,80.77,3.14 (2.83-3.45),6.56,5.12
oligodendrocytes 0,2078.0,0.123,68.0,238,18,7.56,2.50 (2.17-2.83),220,92.44,3.75 (3.51-3.98),6.68,4.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.106,61.0,87,32,36.78,2.11 (1.85-2.37),55,63.22,2.90 (2.50-3.29),4.28,4.22
oligodendrocytes 2,1630.0,0.159,84.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
