tipo_celular,module_size,LAMTOR5_MM,LAMTOR5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.233,66.0,410,29,7.07,3.74 (3.16-4.33),381,92.93,4.30 (4.10-4.50),10.62,7.28
GABA neurons expressing GABA receptors 13,417.0,0.107,11.0,213,22,10.33,1.86 (1.22-2.50),191,89.67,4.05 (3.82-4.28),6.69,10.03
endothelial cells 9,916.0,0.269,66.0,302,8,2.65,2.57 (1.29-3.85),294,97.35,4.03 (3.81-4.26),6.90,10.75
oligodendrocytes 20,403.0,0.049,17.0,18,8,44.44,0.67 (0.51-0.83),10,55.56,2.84 (2.04-3.65),5.38,2.52
GABA like neurons 14,2402.0,0.515,90.0,455,41,9.01,3.05 (2.47-3.64),414,90.99,4.53 (4.34-4.71),18.36,7.89
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.199,88.0,277,7,2.53,6.36 (5.95-6.77),270,97.47,3.84 (3.60-4.09),2.58,9.11
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.298,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.146,47.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.133,29.0,252,36,14.29,2.77 (2.15-3.40),216,85.71,4.39 (4.14-4.64),7.67,8.30
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.118,53.0,345,40,11.59,3.85 (3.40-4.31),305,88.41,4.34 (4.11-4.57),8.47,5.33
oligodendrocytes 2,526.0,0.229,40.0,213,2,0.94,NA,211,99.06,3.98 (3.70-4.25),1.40,8.00
