tipo_celular,module_size,RAB9A_MM,RAB9A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.155,44.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.128,70.0,136,5,3.68,3.11 (2.06-4.16),131,96.32,3.21 (2.93-3.49),4.20,5.02
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,36,10.2,2.69 (2.11-3.27),317,89.8,4.07 (3.88-4.25),18.78,6.85
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.06,18.0,169,20,11.83,2.85 (2.24-3.47),149,88.17,3.56 (3.32-3.79),7.47,5.08
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,218.0,0.037,9.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708.0,0.089,40.0,32,12,37.5,1.99 (1.15-2.83),20,62.5,4.19 (3.12-5.25),3.26,2.20
oligodendrocytes 10,1277.0,0.05,12.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,301.0,0.154,3.0,158,11,6.96,3.48 (2.44-4.53),147,93.04,4.34 (3.95-4.73),5.52,7.18
astrocytes 15,1768.0,0.073,36.0,105,12,11.43,2.22 (1.58-2.87),93,88.57,3.35 (2.99-3.71),4.30,3.94
oligodendrocytes 16,74.0,0.154,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.329,55.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807.0,0.122,14.0,104,12,11.54,2.35 (1.54-3.16),92,88.46,2.94 (2.64-3.23),7.52,5.12
oligodendrocytes 0,613.0,0.141,49.0,127,5,3.94,3.28 (2.83-3.72),122,96.06,3.04 (2.60-3.48),3.70,6.38
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.098,54.0,87,5,5.75,1.42 (0.26-2.58),82,94.25,2.66 (2.39-2.93),6.45,4.11
oligodendrocytes 2,1630.0,0.156,79.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
