tipo_celular,module_size,GNE_MM,GNE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,13,3.68,2.05 (1.25-2.85),340,96.32,3.98 (3.80-4.17),23.72,7.47
GABA neurons expressing GLU receptors 22,487.0,0.088,4.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17),2.63,7.39
GLU like neurons 17,1247.0,0.044,2.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,94.0,0.12,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,233.0,0.165,35.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2090.0,0.084,7.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,8,2.9,2.38 (1.38-3.39),268,97.1,3.59 (3.37-3.81),11.26,4.93
oligodendrocytes 10,735.0,0.028,2.0,277,2,0.72,3.64 (3.21-4.06),275,99.28,3.90 (3.65-4.14),2.50,8.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.216,68.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.112,44.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88),10.05,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.058,14.0,15,4,26.67,1.60 (0.44-2.77),11,73.33,4.07 (2.36-5.78),2.79,2.01
oligodendrocytes 2,1630.0,0.154,76.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
