tipo_celular,module_size,LRRC49_MM,LRRC49_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.129,28.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,8,2.27,1.46 (0.15-2.77),345,97.73,3.94 (3.76-4.13),30.72,7.54
GABA neurons expressing GLU receptors 22,823.0,0.214,72.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12),2.40,3.52
GLU like neurons 17,795.0,0.093,25.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15),1.71,3.06
da like neurons 11,204.0,0.328,92.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,266.0,0.119,23.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.336,82.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.151,48.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.063,29.0,66,8,12.12,2.13 (0.64-3.62),58,87.88,3.36 (2.93-3.78),3.67,2.85
oligodendrocyte progenitor cells 12,3303.0,0.084,57.0,276,5,1.81,2.57 (0.61-4.52),271,98.19,3.56 (3.34-3.77),3.01,5.15
oligodendrocytes 10,806.0,0.107,30.0,261,2,0.77,4.43 (4.17-4.69),259,99.23,4.36 (4.12-4.61),5.52,6.07
connective tissue cells 21,111.0,0.287,49.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1768.0,0.087,50.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55),NA,3.98
oligodendrocytes 16,84.0,0.147,26.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,228.0,0.074,19.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,115.0,0.214,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.153,55.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),2.41,5.80
oligodendrocytes 0,2078.0,0.133,86.0,238,1,0.42,NA,237,99.58,3.64 (3.42-3.86),1.76,5.04
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.078,30.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.112,7.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
