tipo_celular,module_size,WHAMM_MM,WHAMM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.199,43.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,518.0,0.114,22.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.123,63.0,136,3,2.21,3.75 (2.48-5.02),133,97.79,3.19 (2.92-3.47),4.09,5.01
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,33,9.35,2.32 (1.81-2.82),320,90.65,4.08 (3.90-4.27),19.56,6.88
GABA neurons expressing GLU receptors 22,487.0,0.241,61.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.071,5.0,120,8,6.67,4.53 (3.41-5.65),112,93.33,4.61 (4.28-4.94),2.47,3.74
oligodendrocytes 20,676.0,0.039,14.0,110,24,21.82,4.26 (3.34-5.19),86,78.18,5.30 (4.81-5.78),3.75,3.46
GABA like neurons 14,3052.0,0.105,21.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,771.0,0.034,3.0,48,5,10.42,4.81 (2.82-6.81),43,89.58,4.37 (3.55-5.19),1.80,3.30
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,19,6.88,2.64 (2.10-3.19),257,93.12,3.63 (3.40-3.86),7.49,4.93
oligodendrocytes 10,2107.0,0.095,26.0,358,28,7.82,1.75 (1.26-2.23),330,92.18,4.08 (3.89-4.27),18.35,8.72
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.078,46.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76),1.92,1.55
oligodendrocytes 16,86.0,0.151,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.292,36.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,1807.0,0.149,58.0,104,9,8.65,2.17 (1.01-3.33),95,91.35,2.93 (2.64-3.21),7.84,5.17
oligodendrocytes 0,2078.0,0.125,72.0,238,10,4.2,3.03 (2.05-4.02),228,95.8,3.66 (3.44-3.89),6.86,4.94
microglia 1,958.0,0.106,43.0,290,13,4.48,2.11 (1.52-2.69),277,95.52,3.92 (3.68-4.15),5.21,4.99
oligodendrocytes 3,681.0,0.054,11.0,87,6,6.9,1.42 (0.26-2.58),81,93.1,2.66 (2.39-2.93),5.60,4.14
oligodendrocytes 2,1630.0,0.144,54.0,154,1,0.65,5.02 (NA-NA),153,99.35,3.23 (2.97-3.50),2.63,3.60
