tipo_celular,module_size,FAM118A_MM,FAM118A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.236,94.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03),NA,3.58
T cells 18,624.0,0.214,88.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.088,19.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.114,13.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,714.0,0.109,10.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.147,33.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,275.0,0.277,75.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2090.0,0.24,92.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.071,38.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65),NA,2.95
oligodendrocyte progenitor cells 12,708.0,0.05,10.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,2107.0,0.185,64.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07),9.25,9.47
connective tissue cells 21,111.0,0.265,38.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1401.0,0.041,10.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,149.0,0.127,14.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.258,17.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.142,45.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18),3.39,5.44
oligodendrocytes 0,613.0,0.1,9.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,1615.0,0.171,96.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57),6.48,5.42
oligodendrocytes 3,94.0,0.059,23.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.152,70.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
