tipo_celular,module_size,PFDN1_MM,PFDN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.168,57.0,97,2,2.06,6.61 (3.35-9.88),95,97.94,2.96 (2.59-3.34),2.65,4.95
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.103,11.0,353,22,6.23,1.61 (1.21-2.01),331,93.77,4.09 (3.91-4.27),19.71,7.29
GABA neurons expressing GLU receptors 22,400.0,0.277,86.0,24,4,16.67,0.99 (0.29-1.69),20,83.33,2.39 (1.84-2.93),6.48,3.00
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,108.0,0.233,60.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,67.0,0.204,70.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,916.0,0.07,5.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23),5.02,10.69
oligodendrocytes 20,938.0,0.209,82.0,169,8,4.73,2.50 (1.13-3.88),161,95.27,3.54 (3.33-3.76),4.93,5.39
GABA like neurons 14,2402.0,0.327,71.0,455,19,4.18,2.71 (1.51-3.92),436,95.82,4.42 (4.24-4.61),16.91,8.48
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.112,61.0,235,7,2.98,5.89 (4.67-7.10),228,97.02,3.77 (3.53-4.00),5.41,7.68
oligodendrocytes 10,806.0,0.056,10.0,261,2,0.77,4.29 (2.57-6.01),259,99.23,4.37 (4.12-4.61),4.43,6.08
connective tissue cells 21,78.0,0.271,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,122.0,0.209,53.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,729.0,0.14,43.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,140.0,0.31,57.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.079,3.0,252,21,8.33,2.78 (1.72-3.84),231,91.67,4.23 (3.98-4.47),7.43,8.28
microglia 1,480.0,0.067,1.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98),2.28,5.19
oligodendrocytes 3,743.0,0.062,20.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.146,14.0,213,3,1.41,4.55 (3.40-5.71),210,98.59,3.97 (3.69-4.25),2.73,8.01
