tipo_celular,module_size,HNRNPH1_MM,HNRNPH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.112,3.0,17,1,5.88,3.05 (NA-NA),16,94.12,1.83 (1.19-2.47),1.36,5.50
T cells 18,610.0,0.205,82.0,98,31,31.63,1.66 (1.32-2.00),67,68.37,3.91 (3.62-4.20),7.05,2.64
astrocytes 5,1141.0,0.133,52.0,166,25,15.06,1.86 (1.51-2.20),141,84.94,3.73 (3.47-3.99),7.27,4.07
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,49,13.88,1.91 (1.62-2.20),304,86.12,4.31 (4.14-4.49),25.65,5.23
GABA neurons expressing GLU receptors 22,703.0,0.165,37.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,685.0,0.171,68.0,135,20,14.81,1.54 (1.23-1.85),115,85.19,3.54 (3.22-3.86),4.46,3.63
da like neurons 11,108.0,0.103,15.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.087,11.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25),7.11,6.81
oligodendrocytes 20,228.0,0.227,60.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,3052.0,0.141,52.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.088,37.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,36,13.04,1.83 (1.58-2.08),240,86.96,3.88 (3.66-4.11),11.91,4.09
oligodendrocytes 10,2107.0,0.331,93.0,358,53,14.8,1.91 (1.61-2.21),305,85.2,4.34 (4.16-4.51),28.94,6.09
connective tissue cells 21,92.0,0.209,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.085,49.0,105,25,23.81,1.92 (1.54-2.31),80,76.19,3.66 (3.28-4.04),6.58,3.17
oligodendrocytes 16,90.0,0.173,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398.0,0.054,1.0,138,10,7.25,1.79 (0.96-2.61),128,92.75,5.11 (4.76-5.46),3.10,2.71
astrocytes microglia 23,255.0,0.356,98.0,57,2,3.51,1.92 (NA-NA),55,96.49,2.67 (2.30-3.03),1.63,3.39
astrocytes 4,721.0,0.145,37.0,61,4,6.56,3.41 (2.76-4.06),57,93.44,2.93 (2.49-3.37),1.70,6.32
oligodendrocytes 0,613.0,0.141,49.0,127,22,17.32,2.46 (2.09-2.82),105,82.68,3.26 (2.73-3.80),3.68,6.82
microglia 1,958.0,0.136,82.0,290,15,5.17,2.98 (2.25-3.70),275,94.83,3.87 (3.63-4.11),7.34,4.87
oligodendrocytes 3,743.0,0.069,32.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57),1.44,7.37
oligodendrocytes 2,921.0,0.141,57.0,200,12,6.0,3.18 (2.66-3.70),188,94.0,3.66 (3.37-3.94),5.94,3.31
