tipo_celular,module_size,SMU1_MM,SMU1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.105,14.0,71,4,5.63,1.32 (0.53-2.12),67,94.37,2.71 (2.29-3.14),1.89,3.68
T cells 18,727.0,0.159,62.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82),1.32,6.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,48,13.6,2.11 (1.70-2.51),305,86.4,4.25 (4.08-4.43),24.28,5.51
GABA neurons expressing GLU receptors 22,703.0,0.147,28.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,380.0,0.043,1.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,145.0,0.1,15.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,70.0,0.222,83.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,385.0,0.127,68.0,275,52,18.91,2.41 (1.93-2.89),223,81.09,4.47 (4.21-4.73),12.08,4.44
oligodendrocytes 20,233.0,0.14,23.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402.0,0.185,36.0,455,31,6.81,2.13 (1.55-2.71),424,93.19,4.56 (4.38-4.74),16.89,8.25
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,34,12.32,1.84 (1.59-2.09),242,87.68,3.86 (3.63-4.08),11.71,4.18
oligodendrocytes 10,735.0,0.059,19.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,85.0,0.428,95.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.23,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.071,12.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,99.0,0.369,77.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.133,87.0,238,7,2.94,2.42 (1.24-3.60),231,97.06,3.68 (3.46-3.90),10.84,4.85
microglia 1,480.0,0.108,8.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,1003.0,0.05,6.0,111,3,2.7,3.90 (2.39-5.42),108,97.3,3.28 (2.93-3.63),4.10,4.23
oligodendrocytes 2,1630.0,0.176,97.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
