tipo_celular,module_size,CDH10_MM,CDH10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.182,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.193,81.0,219,13,5.94,5.56 (4.49-6.63),206,94.06,5.18 (4.88-5.48),6.59,4.49
GABA neurons expressing GLU receptors 22,487.0,0.101,6.0,73,1,1.37,4.70 (NA-NA),72,98.63,2.72 (2.34-3.11),3.03,7.39
GLU like neurons 17,795.0,0.138,54.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,137.0,0.406,87.0,2,1,50.0,NA,1,50.0,5.16 (NA-NA),1.87,1.40
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.201,48.0,306,27,8.82,4.14 (3.29-5.00),279,91.18,5.22 (4.95-5.49),7.79,6.60
astrocytes 8,727.0,0.146,72.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,254.0,0.391,82.0,37,6,16.22,4.01 (2.37-5.64),31,83.78,4.61 (4.00-5.23),2.48,2.47
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.087,50.0,105,6,5.71,1.16 (0.57-1.75),99,94.29,3.35 (3.01-3.68),5.89,3.86
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.2,16.0,46,2,4.35,4.55 (3.21-5.89),44,95.65,5.05 (4.47-5.64),2.47,3.24
astrocytes 4,220.0,0.158,45.0,63,4,6.35,4.15 (2.69-5.62),59,93.65,5.22 (4.62-5.81),3.62,3.27
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
