tipo_celular,module_size,ACACA_MM,ACACA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.225,81.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,349,0.148,37.0,68,2,2.94,3.02 (0.52-5.52),66,97.06,4.42 (3.86-4.99),3.05,3.32
astrocytes 5,932,0.095,29.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,448,0.113,29.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,823,0.087,5.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380,0.137,26.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,853,0.274,96.0,133,17,12.78,1.38 (0.95-1.81),116,87.22,3.59 (3.27-3.90),5.28,4.00
GABA neurons expressing GABA receptors 13,357,0.106,19.0,237,4,1.69,4.27 (3.25-5.28),233,98.31,4.41 (4.17-4.65),2.08,4.22
endothelial cells 9,450,0.195,45.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08),4.42,3.63
oligodendrocytes 20,295,0.121,22.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70),1.95,3.11
GABA like neurons 14,1300,0.171,33.0,306,7,2.29,2.92 (1.26-4.58),299,97.71,5.17 (4.91-5.43),5.76,6.73
astrocytes 8,1266,0.102,68.0,66,17,25.76,1.67 (1.12-2.23),49,74.24,3.89 (3.48-4.29),4.29,2.49
oligodendrocyte progenitor cells 12,153,0.455,72.0,27,2,7.41,3.98 (-1.95-9.91),25,92.59,4.90 (4.05-5.75),1.59,2.19
oligodendrocytes 10,2107,0.207,71.0,358,27,7.54,1.60 (1.20-2.01),331,92.46,4.12 (3.93-4.30),34.26,7.45
connective tissue cells 21,111,0.211,10.0,26,1,3.85,2.53 (NA-NA),25,96.15,2.52 (1.83-3.22),1.32,2.20
astrocytes 15,1768,0.123,80.0,105,14,13.33,1.55 (1.17-1.93),91,86.67,3.49 (3.14-3.85),7.97,3.36
oligodendrocytes 16,121,0.195,37.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,398,0.091,14.0,138,6,4.35,2.13 (0.78-3.47),132,95.65,4.97 (4.61-5.33),3.05,2.72
astrocytes microglia 23,253,0.325,90.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,201,0.126,13.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,1186,0.147,55.0,300,3,1.0,2.89 (NA-NA),297,99.0,3.80 (3.59-4.00),2.02,4.18
microglia 1,813,0.187,91.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49),3.77,7.95
oligodendrocytes 3,854,0.11,72.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,407,0.166,61.0,122,18,14.75,1.49 (1.04-1.93),104,85.25,3.76 (3.35-4.17),3.79,2.51
