tipo_celular,module_size,PLEKHG1_MM,PLEKHG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.292,100.0,98,16,16.33,1.56 (0.94-2.18),82,83.67,3.44 (3.13-3.75),11.01,2.68
astrocytes 5,118.0,0.212,46.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.149,21.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685.0,0.269,88.0,135,13,9.63,2.41 (1.61-3.21),122,90.37,3.27 (2.95-3.60),4.15,3.71
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.541,100.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25),7.11,6.81
oligodendrocytes 20,279.0,0.194,46.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.113,28.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,262.0,0.232,87.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.171,81.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,101.0,0.195,13.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,268.0,0.238,82.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,199.0,0.229,85.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.256,43.0,7,2,28.57,7.18 (NA-NA),5,71.43,4.37 (3.67-5.07),1.68,1.86
astrocytes 4,201.0,0.103,3.0,18,13,72.22,4.51 (3.55-5.47),5,27.78,4.60 (2.52-6.67),3.61,1.76
oligodendrocytes 0,309.0,0.288,97.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83),2.64,2.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.344,98.0,6,2,33.33,5.16 (5.16-5.16),4,66.67,6.40 (5.12-7.67),2.30,1.91
oligodendrocytes 2,347.0,0.419,99.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
