tipo_celular,module_size,GOT1_MM,GOT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.149,37.0,266,13,4.89,1.94 (0.80-3.07),253,95.11,4.21 (4.01-4.42),13.32,4.55
oligodendrocyte progenitor cells 7,296.0,0.217,68.0,251,1,0.4,3.42 (NA-NA),250,99.6,4.07 (3.83-4.31),2.98,6.17
GABA neurons expressing GLU receptors 22,848.0,0.48,97.0,262,9,3.44,2.49 (0.86-4.11),253,96.56,4.20 (3.96-4.45),12.62,3.80
GLU like neurons 17,380.0,0.315,99.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,1220.0,0.222,63.0,410,9,2.2,3.63 (3.23-4.03),401,97.8,4.26 (4.07-4.45),22.67,7.18
GABA neurons expressing GABA receptors 13,357.0,0.31,89.0,237,5,2.11,4.42 (3.71-5.13),232,97.89,4.41 (4.17-4.64),2.71,4.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.076,26.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,2402.0,0.559,93.0,455,18,3.96,1.58 (0.82-2.33),437,96.04,4.46 (4.28-4.65),30.32,7.95
astrocytes 8,520.0,0.242,79.0,288,9,3.12,3.69 (3.19-4.18),279,96.88,4.18 (3.98-4.38),15.87,4.32
oligodendrocyte progenitor cells 12,1049.0,0.074,37.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06),15.12,7.38
oligodendrocytes 10,806.0,0.311,81.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61),8.58,6.02
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.014,1.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,313.0,0.349,81.0,291,1,0.34,3.34 (NA-NA),290,99.66,4.33 (4.11-4.56),3.14,3.82
da neurons 6,300.0,0.275,83.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,67.0,0.338,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.128,15.0,95,4,4.21,4.07 (2.68-5.47),91,95.79,3.33 (2.89-3.77),2.24,4.75
oligodendrocytes 0,309.0,0.111,27.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.13,59.0,345,7,2.03,3.80 (3.17-4.43),338,97.97,4.28 (4.07-4.49),29.35,5.20
oligodendrocytes 2,99.0,0.16,17.0,116,2,1.72,3.42 (NA-NA),114,98.28,3.96 (3.66-4.27),2.56,7.32
