tipo_celular,module_size,SOX10_MM,SOX10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.125,20.0,164,5,3.05,6.42 (4.81-8.04),159,96.95,3.98 (3.66-4.31),1.89,7.70
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.149,53.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.29,85.0,32,8,25.0,1.63 (0.31-2.95),24,75.0,3.89 (3.03-4.76),3.50,2.30
oligodendrocytes 10,1277.0,0.131,65.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.17,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.145,51.0,300,13,4.33,3.36 (2.91-3.82),287,95.67,3.82 (3.60-4.03),6.13,4.07
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.108,62.0,87,54,62.07,2.40 (2.12-2.69),33,37.93,2.95 (2.38-3.53),4.92,3.14
oligodendrocytes 2,921.0,0.103,7.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
