tipo_celular,module_size,TMEM67_MM,TMEM67_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.126,42.0,166,16,9.64,2.24 (1.57-2.91),150,90.36,3.51 (3.25-3.77),4.35,4.57
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.217,54.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316.0,0.213,95.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41),2.03,3.07
da like neurons 11,197.0,0.181,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.16,68.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64),3.40,8.88
astrocytes 8,727.0,0.099,44.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,92.0,0.37,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.101,64.0,105,14,13.33,2.23 (1.59-2.87),91,86.67,3.38 (3.01-3.74),3.76,4.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.325,67.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,787.0,0.186,97.0,65,7,10.77,4.27 (3.68-4.86),58,89.23,2.79 (2.37-3.20),2.53,6.13
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
