tipo_celular,module_size,WWTR1_MM,WWTR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.296,88.0,58,19,32.76,3.30 (2.67-3.94),39,67.24,4.68 (4.20-5.16),2.19,2.38
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.16,65.0,135,42,31.11,2.70 (2.27-3.13),93,68.89,3.46 (3.06-3.87),3.56,3.84
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.377,98.0,141,13,9.22,3.41 (2.24-4.57),128,90.78,2.91 (2.68-3.14),3.39,7.17
oligodendrocytes 20,676.0,0.045,18.0,110,8,7.27,1.80 (1.08-2.52),102,92.73,5.31 (4.89-5.73),3.12,3.56
GABA like neurons 14,2090.0,0.019,1.0,74,17,22.97,2.51 (2.04-2.98),57,77.03,3.07 (2.61-3.54),3.51,12.58
astrocytes 8,354.0,0.187,83.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.1,45.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,114.0,0.185,16.0,19,8,42.11,3.88 (2.64-5.13),11,57.89,5.61 (5.07-6.15),1.72,2.41
astrocytes 15,1401.0,0.197,97.0,96,9,9.38,3.51 (2.12-4.89),87,90.62,3.62 (3.15-4.10),2.31,3.95
oligodendrocytes 16,92.0,0.202,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.217,6.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,171.0,0.146,32.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,2078.0,0.11,42.0,238,20,8.4,2.68 (2.24-3.13),218,91.6,3.74 (3.50-3.97),5.44,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.077,41.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.119,12.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
