tipo_celular,module_size,COQ8A_MM,COQ8A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,23,6.52,1.78 (1.26-2.29),330,93.48,4.08 (3.90-4.26),24.63,6.91
GABA neurons expressing GLU receptors 22,203.0,0.34,78.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.166,70.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,101.0,0.197,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.041,14.0,33,4,12.12,3.40 (2.78-4.02),29,87.88,2.63 (2.09-3.18),2.83,3.46
GABA like neurons 14,2090.0,0.183,70.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33),3.66,10.69
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.06,25.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483.0,0.059,15.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.351,95.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.333,70.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.11,16.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.084,54.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.145,56.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
