tipo_celular,module_size,TRNT1_MM,TRNT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.168,59.0,71,6,8.45,1.55 (0.96-2.13),65,91.55,2.74 (2.30-3.18),1.86,3.74
T cells 18,506.0,0.062,2.0,225,8,3.56,1.50 (1.08-1.93),217,96.44,3.72 (3.47-3.97),15.49,7.62
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,54,15.3,2.27 (1.92-2.63),299,84.7,4.29 (4.11-4.47),22.74,5.41
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.073,6.0,120,2,1.67,3.23 (2.15-4.31),118,98.33,4.63 (4.31-4.95),3.59,3.65
oligodendrocytes 20,938.0,0.18,74.0,169,8,4.73,1.71 (0.99-2.43),161,95.27,3.59 (3.37-3.80),7.15,5.28
GABA like neurons 14,3052.0,0.169,75.0,125,3,2.4,6.11 (4.64-7.58),122,97.6,3.27 (2.95-3.58),2.60,8.76
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,138.0,0.036,5.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107.0,0.14,47.0,358,44,12.29,2.13 (1.72-2.55),314,87.71,4.20 (4.02-4.39),30.68,6.50
connective tissue cells 21,100.0,0.29,61.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.227,61.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.35,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,86.0,0.108,12.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,813.0,0.094,22.0,79,5,6.33,4.70 (3.75-5.65),74,93.67,2.98 (2.57-3.40),4.37,8.14
oligodendrocytes 3,743.0,0.065,25.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.17,94.0,154,7,4.55,4.49 (2.68-6.30),147,95.45,3.19 (2.92-3.45),3.00,3.62
