tipo_celular,module_size,OSBPL2_MM,OSBPL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.158,54.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656.0,0.111,43.0,136,3,2.21,2.10 (0.48-3.71),133,97.79,3.24 (2.96-3.51),6.40,4.96
oligodendrocyte progenitor cells 7,4285.0,0.096,8.0,353,28,7.93,1.76 (1.34-2.18),325,92.07,4.13 (3.96-4.31),25.53,6.56
GABA neurons expressing GLU receptors 22,1069.0,0.144,35.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.126,53.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,853.0,0.092,20.0,133,16,12.03,1.65 (1.00-2.31),117,87.97,3.52 (3.20-3.84),4.77,4.08
GABA neurons expressing GABA receptors 13,238.0,0.144,37.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.18,61.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77),1.78,3.90
GABA like neurons 14,2402.0,0.163,29.0,455,22,4.84,1.95 (1.39-2.50),433,95.16,4.51 (4.33-4.70),24.65,8.03
astrocytes 8,140.0,0.038,9.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,17,6.16,1.99 (1.55-2.42),259,93.84,3.68 (3.45-3.90),10.50,4.76
oligodendrocytes 10,735.0,0.055,15.0,277,1,0.36,3.42 (NA-NA),276,99.64,3.90 (3.65-4.14),2.58,8.97
connective tissue cells 21,101.0,0.241,22.0,116,9,7.76,2.31 (1.83-2.79),107,92.24,4.90 (4.48-5.31),3.52,3.19
astrocytes 15,443.0,0.243,93.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,64.0,0.14,16.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,448.0,0.055,2.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,61.0,0.3,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,48.0,104,10,9.62,1.48 (0.72-2.24),94,90.38,3.02 (2.74-3.31),12.20,4.67
oligodendrocytes 0,2078.0,0.1,21.0,238,4,1.68,2.25 (0.68-3.82),234,98.32,3.66 (3.44-3.89),9.53,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.023,0.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.156,80.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
