tipo_celular,module_size,TAB1_MM,TAB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.096,11.0,98,30,30.61,1.87 (1.45-2.29),68,69.39,3.70 (3.37-4.03),7.39,2.56
astrocytes 5,932.0,0.117,63.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,33,9.35,1.84 (1.45-2.24),320,90.65,4.15 (3.97-4.33),29.93,5.81
GABA neurons expressing GLU receptors 22,567.0,0.205,55.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247.0,0.108,31.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,94.0,0.114,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.105,39.0,169,15,8.88,2.82 (2.19-3.44),154,91.12,3.56 (3.33-3.79),5.70,5.33
GABA like neurons 14,2090.0,0.158,53.0,74,3,4.05,1.92 (NA-NA),71,95.95,2.96 (2.58-3.34),2.65,10.83
astrocytes 8,1266.0,0.074,41.0,66,17,25.76,2.00 (1.32-2.69),49,74.24,3.75 (3.31-4.18),4.27,2.50
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,29,10.51,2.26 (1.89-2.63),247,89.49,3.74 (3.51-3.97),13.13,4.17
oligodendrocytes 10,1277.0,0.071,24.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,139.0,0.472,99.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1401.0,0.087,51.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,66.0,0.318,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,92.0,0.369,77.0,11,2,18.18,5.17 (5.12-5.21),9,81.82,4.15 (3.53-4.77),1.47,1.98
astrocytes 4,1807.0,0.178,97.0,104,22,21.15,2.13 (1.61-2.64),82,78.85,3.06 (2.74-3.37),11.56,3.74
oligodendrocytes 0,2078.0,0.121,65.0,238,5,2.1,2.34 (1.28-3.40),233,97.9,3.67 (3.45-3.89),5.99,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.068,24.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,1630.0,0.135,34.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
