tipo_celular,module_size,SLC35D1_MM,SLC35D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.113,27.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.111,43.0,136,6,4.41,3.69 (3.53-3.85),130,95.59,3.18 (2.90-3.47),3.60,5.05
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,14,3.97,1.87 (0.93-2.80),339,96.03,4.00 (3.82-4.18),31.70,7.09
GABA neurons expressing GLU receptors 22,714.0,0.145,29.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,685.0,0.106,32.0,135,3,2.22,2.42 (1.02-3.82),132,97.78,3.21 (2.90-3.52),2.35,3.78
da like neurons 11,200.0,0.254,68.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.154,69.0,297,1,0.34,6.08 (NA-NA),296,99.66,3.66 (3.46-3.87),2.94,5.53
oligodendrocytes 20,279.0,0.027,3.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.127,31.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.06,28.0,83,1,1.2,3.82 (NA-NA),82,98.8,3.24 (2.79-3.70),1.53,4.51
oligodendrocyte progenitor cells 12,3303.0,0.118,89.0,276,7,2.54,2.74 (2.13-3.35),269,97.46,3.57 (3.35-3.79),5.82,5.09
oligodendrocytes 10,2107.0,0.204,70.0,358,10,2.79,1.65 (0.39-2.92),348,97.21,3.95 (3.76-4.13),34.37,8.76
connective tissue cells 21,118.0,0.304,55.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,443.0,0.127,32.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,64.0,0.318,97.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,63.0,0.264,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.156,59.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.128,79.0,238,4,1.68,2.90 (0.47-5.33),234,98.32,3.65 (3.43-3.87),5.42,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.088,43.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804.0,0.138,32.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
