tipo_celular,module_size,DDAH1_MM,DDAH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.158,55.0,28,2,7.14,2.42 (2.37-2.47),26,92.86,5.56 (5.04-6.07),1.94,2.45
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,18,5.1,1.72 (1.17-2.27),335,94.9,4.04 (3.86-4.22),26.31,7.08
GABA neurons expressing GLU receptors 22,459.0,0.107,24.0,165,9,5.45,2.29 (1.48-3.10),156,94.55,5.30 (4.97-5.64),3.56,4.12
GLU like neurons 17,685.0,0.107,33.0,135,25,18.52,2.18 (1.74-2.61),110,81.48,3.41 (3.06-3.75),4.04,3.68
da like neurons 11,200.0,0.286,77.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,200.0,0.084,3.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,303.0,0.118,29.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.204,93.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.126,80.0,66,7,10.61,1.34 (0.39-2.29),59,89.39,3.49 (3.08-3.90),4.20,2.80
oligodendrocyte progenitor cells 12,3303.0,0.152,99.0,276,13,4.71,1.77 (1.28-2.26),263,95.29,3.66 (3.44-3.88),9.45,4.90
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,136.0,0.2,8.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1768.0,0.171,97.0,105,10,9.52,1.78 (1.08-2.47),95,90.48,3.38 (3.03-3.73),5.88,3.78
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.183,88.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,190.0,0.355,92.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,220.0,0.175,58.0,63,4,6.35,2.30 (1.82-2.78),59,93.65,5.39 (4.84-5.94),2.57,3.34
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
