tipo_celular,module_size,PAAF1_MM,PAAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.095,14.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89),NA,2.41
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,33,9.35,1.67 (1.32-2.02),320,90.65,4.20 (4.02-4.37),33.48,5.44
GABA neurons expressing GLU receptors 22,567.0,0.136,23.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1316.0,0.1,28.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,61.0,0.062,2.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.296,79.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.122,16.0,455,24,5.27,1.74 (1.24-2.25),431,94.73,4.55 (4.37-4.72),19.10,8.26
astrocytes 8,1266.0,0.05,15.0,66,11,16.67,1.52 (0.80-2.24),55,83.33,3.63 (3.22-4.05),4.84,2.57
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,25,9.06,1.83 (1.53-2.14),251,90.94,3.77 (3.55-4.00),15.95,4.03
oligodendrocytes 10,735.0,0.035,5.0,277,3,1.08,4.03 (3.69-4.37),274,98.92,3.89 (3.65-4.14),8.12,8.95
connective tissue cells 21,136.0,0.308,60.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1401.0,0.055,21.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,82.0,0.33,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.263,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.14,28.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,479.0,0.121,22.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.086,42.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,804.0,0.128,21.0,84,5,5.95,1.25 (0.41-2.09),79,94.05,2.80 (2.46-3.15),2.57,3.45
