tipo_celular,module_size,SELENOS_MM,SELENOS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.378,98.0,21,9,42.86,1.37 (0.60-2.14),12,57.14,3.06 (2.37-3.75),2.31,1.77
T cells 18,506.0,0.192,54.0,225,32,14.22,3.07 (2.61-3.52),193,85.78,3.74 (3.46-4.03),5.72,8.27
astrocytes 5,328.0,0.175,54.0,128,17,13.28,5.62 (4.87-6.37),111,86.72,3.24 (2.92-3.57),2.42,7.43
oligodendrocyte progenitor cells 7,628.0,0.207,71.0,164,12,7.32,3.69 (3.00-4.37),152,92.68,4.13 (3.77-4.48),7.53,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.263,64.0,302,21,6.95,4.20 (3.27-5.14),281,93.05,3.96 (3.73-4.19),7.08,10.92
oligodendrocytes 20,938.0,0.232,87.0,169,24,14.2,3.09 (2.59-3.60),145,85.8,3.56 (3.32-3.80),4.37,5.53
GABA like neurons 14,2402.0,0.302,66.0,455,51,11.21,3.31 (2.77-3.86),404,88.79,4.53 (4.34-4.72),16.92,7.81
astrocytes 8,603.0,0.114,72.0,89,11,12.36,1.96 (0.77-3.14),78,87.64,2.87 (2.51-3.23),3.69,6.37
oligodendrocyte progenitor cells 12,1049.0,0.165,78.0,235,12,5.11,4.24 (3.32-5.15),223,94.89,3.79 (3.55-4.03),5.37,7.74
oligodendrocytes 10,735.0,0.088,45.0,277,12,4.33,6.84 (6.03-7.66),265,95.67,3.72 (3.49-3.95),2.73,9.23
connective tissue cells 21,301.0,0.368,49.0,158,17,10.76,3.40 (2.48-4.33),141,89.24,4.37 (3.98-4.76),4.20,7.41
astrocytes 15,1401.0,0.095,59.0,96,10,10.42,3.25 (2.41-4.09),86,89.58,3.67 (3.17-4.16),4.06,3.77
oligodendrocytes 16,104.0,0.244,73.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.328,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.147,56.0,104,24,23.08,2.36 (1.81-2.92),80,76.92,3.03 (2.71-3.35),8.28,4.53
oligodendrocytes 0,546.0,0.174,53.0,252,42,16.67,2.93 (2.27-3.58),210,83.33,4.38 (4.14-4.63),8.52,8.15
microglia 1,406.0,0.162,42.0,278,25,8.99,5.29 (4.58-6.00),253,91.01,4.26 (3.97-4.55),2.15,7.19
oligodendrocytes 3,303.0,0.138,51.0,154,2,1.3,6.60 (NA-NA),152,98.7,3.59 (3.28-3.91),4.39,11.94
oligodendrocytes 2,526.0,0.317,67.0,213,5,2.35,5.20 (2.96-7.44),208,97.65,3.95 (3.67-4.22),6.88,7.96
