tipo_celular,module_size,EPHA5_MM,EPHA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,52,14.73,2.17 (1.86-2.49),301,85.27,4.30 (4.11-4.48),18.74,6.22
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,795.0,0.285,92.0,80,13,16.25,4.66 (3.27-6.06),67,83.75,5.85 (5.44-6.26),3.87,2.85
da like neurons 11,153.0,0.524,100.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,90.0,0.189,71.0,4,3,75.0,4.56 (1.37-7.75),1,25.0,7.70 (NA-NA),1.95,1.52
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.145,21.0,306,79,25.82,4.20 (3.69-4.71),227,74.18,5.52 (5.24-5.80),11.73,4.96
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,41,14.86,2.29 (1.98-2.61),235,85.14,3.84 (3.61-4.08),7.69,4.66
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.188,92.0,122,41,33.61,4.00 (3.14-4.87),81,66.39,3.98 (3.64-4.32),4.23,3.10
astrocytes microglia 23,157.0,0.519,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
