tipo_celular,module_size,FOXO3_MM,FOXO3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.249,72.0,102,53,51.96,2.97 (2.59-3.36),49,48.04,4.08 (3.49-4.68),3.86,2.14
T cells 18,477.0,0.194,70.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423.0,0.156,54.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,448.0,0.101,20.0,108,1,0.93,2.76 (NA-NA),107,99.07,3.26 (2.82-3.70),24.79,17.05
GABA neurons expressing GLU receptors 22,823.0,0.247,86.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,637.0,0.127,36.0,91,14,15.38,1.78 (1.01-2.55),77,84.62,5.26 (4.80-5.72),2.95,3.08
da like neurons 11,89.0,0.391,78.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.202,90.0,297,2,0.67,2.04 (NA-NA),295,99.33,3.68 (3.48-3.88),3.79,5.53
oligodendrocytes 20,233.0,0.174,40.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.171,76.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67),1.90,8.67
astrocytes 8,262.0,0.255,90.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,103.0,0.465,59.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107.0,0.2,69.0,358,88,24.58,2.50 (2.20-2.80),270,75.42,4.50 (4.32-4.69),20.96,5.73
connective tissue cells 21,147.0,0.28,70.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1768.0,0.11,71.0,105,28,26.67,2.20 (1.64-2.77),77,73.33,3.62 (3.25-3.99),6.15,3.19
oligodendrocytes 16,74.0,0.165,29.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.249,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.178,48.0,95,6,6.32,1.30 (0.81-1.78),89,93.68,3.52 (3.09-3.95),2.97,4.75
oligodendrocytes 0,1186.0,0.19,97.0,300,20,6.67,3.77 (3.09-4.44),280,93.33,3.79 (3.58-4.01),5.14,4.08
microglia 1,1615.0,0.158,92.0,161,69,42.86,2.43 (2.06-2.80),92,57.14,4.11 (3.84-4.38),8.08,3.44
oligodendrocytes 3,681.0,0.138,81.0,87,63,72.41,2.44 (2.17-2.71),24,27.59,3.05 (2.33-3.77),4.75,2.90
oligodendrocytes 2,348.0,0.169,38.0,114,18,15.79,4.19 (3.71-4.68),96,84.21,5.38 (4.89-5.87),5.31,4.22
