tipo_celular,module_size,RCHY1_MM,RCHY1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.14,37.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14),1.66,3.42
T cells 18,727.0,0.109,24.0,49,10,20.41,4.11 (3.34-4.89),39,79.59,2.12 (1.75-2.49),4.94,6.57
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,69,19.55,2.51 (2.18-2.83),284,80.45,4.32 (4.13-4.50),21.88,4.71
GABA neurons expressing GLU receptors 22,703.0,0.239,80.0,23,4,17.39,2.83 (1.50-4.16),19,82.61,1.93 (1.11-2.74),2.90,4.14
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,153.0,0.21,42.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.084,16.0,297,15,5.05,3.89 (3.24-4.55),282,94.95,3.66 (3.45-3.88),8.77,5.35
oligodendrocytes 20,221.0,0.266,71.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.196,90.0,125,9,7.2,3.40 (2.97-3.84),116,92.8,3.35 (3.01-3.69),4.56,8.93
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,61,22.1,2.68 (2.36-3.00),215,77.9,3.85 (3.59-4.10),10.72,3.52
oligodendrocytes 10,2107.0,0.054,7.0,358,78,21.79,2.52 (2.19-2.85),280,78.21,4.36 (4.17-4.55),22.88,5.74
connective tissue cells 21,111.0,0.304,55.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.124,9.0,291,11,3.78,3.54 (2.48-4.59),280,96.22,4.36 (4.13-4.59),2.96,3.85
da neurons 6,553.0,0.085,17.0,124,11,8.87,3.56 (2.44-4.68),113,91.13,4.24 (3.83-4.66),3.03,3.03
astrocytes microglia 23,114.0,0.367,83.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.101,23.0,238,26,10.92,3.29 (2.80-3.78),212,89.08,3.68 (3.44-3.92),6.19,4.88
microglia 1,1615.0,0.11,51.0,161,62,38.51,2.41 (2.07-2.76),99,61.49,3.93 (3.60-4.25),9.31,3.00
oligodendrocytes 3,854.0,0.076,32.0,76,4,5.26,2.82 (0.90-4.74),72,94.74,2.78 (2.44-3.11),3.53,4.79
oligodendrocytes 2,1630.0,0.165,91.0,154,5,3.25,4.55 (2.56-6.55),149,96.75,3.19 (2.93-3.46),2.38,3.63
