tipo_celular,module_size,USP49_MM,USP49_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.122,70.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,44,12.46,2.13 (1.75-2.50),309,87.54,4.21 (4.03-4.39),26.01,5.51
GABA neurons expressing GLU receptors 22,1069.0,0.136,28.0,37,5,13.51,2.82 (1.54-4.10),32,86.49,2.03 (1.55-2.51),2.81,3.15
GLU like neurons 17,300.0,0.213,71.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00),2.13,2.62
da like neurons 11,97.0,0.233,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.032,3.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.155,51.0,74,7,9.46,2.27 (1.61-2.93),67,90.54,3.02 (2.61-3.43),3.91,11.19
astrocytes 8,262.0,0.087,21.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.085,58.0,276,33,11.96,2.46 (2.01-2.92),243,88.04,3.73 (3.50-3.96),13.19,4.01
oligodendrocytes 10,2107.0,0.111,34.0,358,46,12.85,2.22 (1.81-2.63),312,87.15,4.18 (3.99-4.37),29.70,6.49
connective tissue cells 21,111.0,0.347,86.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768.0,0.072,35.0,105,24,22.86,2.09 (1.70-2.48),81,77.14,3.58 (3.19-3.97),6.26,3.30
oligodendrocytes 16,116.0,0.051,0.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.322,48.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807.0,0.135,31.0,104,28,26.92,1.94 (1.59-2.29),76,73.08,3.24 (2.91-3.57),10.11,3.66
oligodendrocytes 0,2078.0,0.113,46.0,238,17,7.14,3.44 (2.56-4.32),221,92.86,3.65 (3.42-3.88),8.21,4.78
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.08,39.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,1630.0,0.131,28.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51),1.94,3.61
