tipo_celular,module_size,ATP6V0A2_MM,ATP6V0A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.206,85.0,71,3,4.23,3.17 (-1.24-7.58),68,95.77,2.59 (2.21-2.98),3.32,3.59
T cells 18,624.0,0.108,17.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,29,8.22,2.51 (1.70-3.31),324,91.78,4.04 (3.86-4.22),22.18,6.80
GABA neurons expressing GLU receptors 22,714.0,0.269,86.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1316.0,0.097,25.0,101,5,4.95,5.46 (4.08-6.83),96,95.05,2.93 (2.59-3.27),3.47,3.03
da like neurons 11,265.0,0.137,28.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.336,85.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.193,89.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.229,79.0,32,12,37.5,1.74 (0.59-2.89),20,62.5,3.96 (3.05-4.87),3.21,2.23
oligodendrocytes 10,2107.0,0.161,55.0,358,27,7.54,2.28 (1.41-3.15),331,92.46,4.02 (3.84-4.21),21.11,8.52
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.218,66.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,95.0,0.326,53.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.112,44.0,238,8,3.36,4.24 (2.34-6.14),230,96.64,3.61 (3.40-3.83),6.06,4.99
microglia 1,1615.0,0.096,29.0,161,21,13.04,2.41 (1.35-3.48),140,86.96,3.43 (3.18-3.67),10.71,4.64
oligodendrocytes 3,681.0,0.062,18.0,87,12,13.79,2.02 (0.99-3.05),75,86.21,2.67 (2.41-2.94),4.14,4.26
oligodendrocytes 2,1630.0,0.129,25.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
