tipo_celular,module_size,HIKESHI_MM,HIKESHI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.147,41.0,97,1,1.03,2.27 (NA-NA),96,98.97,3.07 (2.67-3.46),4.46,4.91
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.12,57.0,136,1,0.74,4.54 (NA-NA),135,99.26,3.20 (2.93-3.47),3.32,5.00
oligodendrocyte progenitor cells 7,666.0,0.17,53.0,127,6,4.72,2.03 (1.94-2.11),121,95.28,3.90 (3.56-4.24),3.23,5.97
GABA neurons expressing GLU receptors 22,1069.0,0.16,47.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.065,4.0,25,3,12.0,1.72 (0.18-3.26),22,88.0,5.12 (3.73-6.52),1.99,2.32
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.071,5.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,938.0,0.172,71.0,169,9,5.33,2.74 (1.66-3.83),160,94.67,3.53 (3.30-3.75),2.52,5.52
GABA like neurons 14,3052.0,0.144,55.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,603.0,0.022,1.0,89,1,1.12,2.80 (NA-NA),88,98.88,2.76 (2.40-3.12),3.48,6.07
oligodendrocyte progenitor cells 12,1049.0,0.067,32.0,235,1,0.43,NA,234,99.57,3.82 (3.59-4.06),3.35,7.63
oligodendrocytes 10,1277.0,0.041,7.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.307,57.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768.0,0.066,29.0,105,19,18.1,2.87 (2.19-3.54),86,81.9,3.29 (2.91-3.67),5.65,3.61
oligodendrocytes 16,156.0,0.237,77.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.314,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.131,25.0,104,16,15.38,2.32 (1.63-3.01),88,84.62,2.95 (2.65-3.26),12.07,4.18
oligodendrocytes 0,2078.0,0.127,77.0,238,10,4.2,3.35 (2.25-4.44),228,95.8,3.65 (3.42-3.87),7.70,4.90
microglia 1,958.0,0.094,23.0,290,23,7.93,3.69 (3.22-4.15),267,92.07,3.82 (3.58-4.07),5.33,4.97
oligodendrocytes 3,639.0,0.059,16.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.138,42.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
