tipo_celular,module_size,PFDN2_MM,PFDN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.191,39.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.124,19.0,164,1,0.61,2.68 (NA-NA),163,99.39,4.10 (3.77-4.43),2.68,7.56
GABA neurons expressing GLU receptors 22,487.0,0.398,92.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,1316.0,0.106,35.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.242,68.0,410,15,3.66,3.97 (2.74-5.21),395,96.34,4.26 (4.07-4.45),10.89,7.39
GABA neurons expressing GABA receptors 13,417.0,0.119,17.0,213,26,12.21,2.20 (1.30-3.09),187,87.79,4.01 (3.79-4.23),6.80,10.09
endothelial cells 9,916.0,0.27,66.0,302,3,0.99,1.25 (0.23-2.28),299,99.01,4.02 (3.79-4.24),14.90,10.61
oligodendrocytes 20,938.0,0.28,93.0,169,11,6.51,2.93 (1.74-4.11),158,93.49,3.53 (3.31-3.74),4.47,5.43
GABA like neurons 14,2402.0,0.531,91.0,455,31,6.81,2.62 (1.78-3.46),424,93.19,4.50 (4.32-4.68),18.82,8.10
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.154,76.0,235,10,4.26,5.73 (4.97-6.50),225,95.74,3.74 (3.50-3.97),4.87,7.74
oligodendrocytes 10,735.0,0.2,89.0,277,6,2.17,5.34 (4.85-5.84),271,97.83,3.86 (3.62-4.11),4.16,9.05
connective tissue cells 21,301.0,0.381,53.0,158,7,4.43,2.87 (1.45-4.30),151,95.57,4.35 (3.98-4.72),6.18,7.11
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.27,82.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42),2.75,3.75
da neurons 6,729.0,0.184,66.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,110.0,0.358,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.225,74.0,252,29,11.51,2.60 (1.74-3.45),223,88.49,4.33 (4.09-4.56),8.81,8.13
microglia 1,406.0,0.065,2.0,278,6,2.16,3.74 (2.60-4.88),272,97.84,4.38 (4.10-4.66),2.63,6.83
oligodendrocytes 3,303.0,0.127,46.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.365,78.0,213,3,1.41,4.55 (3.40-5.71),210,98.59,3.97 (3.69-4.25),2.73,8.01
