tipo_celular,module_size,DMGDH_MM,DMGDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.118,19.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,19,5.38,1.49 (1.00-1.98),334,94.62,4.07 (3.89-4.25),35.82,6.48
GABA neurons expressing GLU receptors 22,714.0,0.509,100.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03),2.53,3.79
GLU like neurons 17,795.0,0.255,88.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,137.0,0.122,10.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.143,54.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.147,73.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.08,34.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.399,91.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,1768.0,0.026,2.0,105,12,11.43,1.85 (1.28-2.41),93,88.57,3.41 (3.05-3.76),8.88,3.35
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.268,19.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,514.0,0.112,7.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
