tipo_celular,module_size,RAPGEF3_MM,RAPGEF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.136,82.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.177,40.0,120,45,37.5,4.40 (3.84-4.96),75,62.5,4.73 (4.36-5.11),4.24,3.30
oligodendrocytes 20,298.0,0.041,11.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.12,26.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.11,41.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.127,63.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.032,9.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72),1.75,3.17
oligodendrocytes 16,151.0,0.232,74.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.309,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.181,93.0,61,5,8.2,3.08 (1.86-4.30),56,91.8,2.96 (2.52-3.39),2.36,6.35
oligodendrocytes 0,187.0,0.153,41.0,14,3,21.43,6.26 (4.45-8.07),11,78.57,5.39 (4.74-6.05),1.61,2.73
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.099,54.0,127,2,1.57,5.45 (4.94-5.97),125,98.43,3.07 (2.74-3.40),3.01,4.26
oligodendrocytes 2,407.0,0.127,19.0,122,17,13.93,1.68 (1.10-2.26),105,86.07,3.69 (3.27-4.10),2.81,2.68
