tipo_celular,module_size,ERAP1_MM,ERAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.2,72.0,97,5,5.15,3.80 (1.05-6.55),92,94.85,3.03 (2.63-3.42),2.99,5.01
T cells 18,624.0,0.092,8.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.135,51.0,353,22,6.23,1.62 (1.14-2.10),331,93.77,4.09 (3.91-4.27),35.61,6.23
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.062,4.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,938.0,0.172,71.0,169,14,8.28,2.69 (1.82-3.57),155,91.72,3.54 (3.32-3.77),9.86,4.96
GABA like neurons 14,2402.0,0.148,24.0,455,25,5.49,1.88 (1.30-2.46),430,94.51,4.51 (4.33-4.69),27.17,7.77
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.028,2.0,276,15,5.43,1.99 (1.50-2.47),261,94.57,3.66 (3.44-3.88),15.60,4.51
oligodendrocytes 10,2107.0,0.091,24.0,358,23,6.42,1.53 (1.06-1.99),335,93.58,4.08 (3.90-4.27),34.08,7.78
connective tissue cells 21,88.0,0.35,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,94.0,0.232,65.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.363,71.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.075,3.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88),11.09,4.94
microglia 1,813.0,0.15,79.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52),4.73,7.98
oligodendrocytes 3,743.0,0.08,46.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,1630.0,0.115,9.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
