tipo_celular,module_size,SNRPA1_MM,SNRPA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.14,38.0,131,6,4.58,3.48 (2.87-4.09),125,95.42,3.05 (2.76-3.34),4.18,4.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,30.0,353,51,14.45,2.17 (1.77-2.57),302,85.55,4.26 (4.08-4.43),23.94,5.38
GABA neurons expressing GLU receptors 22,703.0,0.107,11.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,1316.0,0.059,4.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42),2.08,3.07
da like neurons 11,120.0,0.05,2.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.097,14.0,302,10,3.31,3.53 (2.34-4.71),292,96.69,4.00 (3.77-4.23),6.54,10.79
oligodendrocytes 20,403.0,0.045,13.0,18,10,55.56,1.17 (0.53-1.82),8,44.44,2.76 (1.71-3.80),4.80,2.53
GABA like neurons 14,3052.0,0.081,9.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.048,14.0,235,13,5.53,3.55 (3.12-3.97),222,94.47,3.84 (3.59-4.08),6.53,7.68
oligodendrocytes 10,2107.0,0.091,24.0,358,46,12.85,1.88 (1.57-2.20),312,87.15,4.24 (4.06-4.43),30.14,6.42
connective tissue cells 21,77.0,0.344,75.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.3,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.317,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.104,30.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90),15.59,4.84
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.054,8.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66),3.46,4.25
oligodendrocytes 2,1630.0,0.137,40.0,154,1,0.65,4.17 (NA-NA),153,99.35,3.24 (2.97-3.50),4.88,3.58
