tipo_celular,module_size,TCEAL7_MM,TCEAL7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.315,79.0,262,4,1.53,2.86 (0.14-5.58),258,98.47,4.19 (3.94-4.43),2.49,4.13
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.29,79.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43),NA,7.52
GABA neurons expressing GABA receptors 13,417.0,0.244,88.0,213,14,6.57,1.17 (0.69-1.65),199,93.43,4.00 (3.77-4.23),7.13,9.87
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.158,33.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.647,97.0,455,16,3.52,1.39 (0.89-1.89),439,96.48,4.49 (4.31-4.67),22.15,8.35
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.229,68.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.112,6.0,291,0,0.0,NA,291,100.0,4.33 (4.10-4.55),NA,3.82
da neurons 6,729.0,0.184,66.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.156,43.0,252,13,5.16,1.39 (0.73-2.04),239,94.84,4.29 (4.05-4.53),7.33,8.26
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.126,56.0,345,1,0.29,4.52 (NA-NA),344,99.71,4.27 (4.06-4.48),1.61,5.70
oligodendrocytes 2,526.0,0.272,53.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
