tipo_celular,module_size,SLITRK5_MM,SLITRK5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.138,84.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,8,2.27,1.59 (0.89-2.28),345,97.73,3.96 (3.77-4.14),13.75,7.93
GABA neurons expressing GLU receptors 22,400.0,0.183,41.0,24,1,4.17,0.79 (NA-NA),23,95.83,2.22 (1.70-2.73),2.97,3.61
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,191.0,0.154,27.0,93,33,35.48,5.89 (5.12-6.66),60,64.52,5.48 (5.06-5.90),4.99,3.67
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.213,95.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,218.0,0.134,62.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.105,79.0,276,9,3.26,2.02 (1.06-2.99),267,96.74,3.61 (3.39-3.83),6.25,5.07
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.049,13.0,105,6,5.71,1.16 (0.57-1.75),99,94.29,3.35 (3.01-3.68),5.89,3.86
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.087,20.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,96.0,0.376,82.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,1807.0,0.142,46.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23),9.00,5.25
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
