tipo_celular,module_size,CCSAP_MM,CCSAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,24,6.8,2.12 (1.42-2.82),329,93.2,4.04 (3.85-4.22),18.15,7.33
GABA neurons expressing GLU receptors 22,848.0,0.087,4.0,262,13,4.96,2.71 (1.84-3.58),249,95.04,4.25 (4.00-4.50),4.50,4.08
GLU like neurons 17,1316.0,0.082,14.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41),2.03,3.07
da like neurons 11,1220.0,0.074,5.0,410,11,2.68,4.07 (2.55-5.60),399,97.32,4.25 (4.06-4.44),4.77,7.59
GABA neurons expressing GABA receptors 13,200.0,0.212,84.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.13,47.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402.0,0.14,21.0,455,14,3.08,2.17 (1.17-3.17),441,96.92,4.43 (4.25-4.61),24.74,8.33
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,15,5.43,2.86 (1.86-3.85),261,94.57,3.59 (3.36-3.81),4.28,5.16
oligodendrocytes 10,806.0,0.079,17.0,261,25,9.58,4.88 (4.34-5.42),236,90.42,4.31 (4.05-4.57),5.21,6.16
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,86.0,0.204,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.097,44.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,131.0,0.476,98.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.128,35.0,127,1,0.79,4.08 (NA-NA),126,99.21,3.04 (2.62-3.46),1.71,6.31
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.067,28.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.142,58.0,200,6,3.0,4.13 (2.70-5.56),194,97.0,3.61 (3.33-3.88),2.26,3.50
