tipo_celular,module_size,TUB_MM,TUB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.11,52.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,26,7.37,2.21 (1.60-2.81),327,92.63,4.06 (3.88-4.24),24.66,6.74
GABA neurons expressing GLU receptors 22,823.0,0.202,66.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316.0,0.101,30.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,191.0,0.092,8.0,93,6,6.45,4.16 (4.04-4.28),87,93.55,5.79 (5.36-6.21),3.75,4.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.159,54.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.086,56.0,66,16,24.24,1.86 (1.10-2.61),50,75.76,3.76 (3.36-4.16),3.34,2.83
oligodendrocyte progenitor cells 12,411.0,0.025,2.0,103,2,1.94,4.12 (4.12-4.12),101,98.06,5.58 (5.19-5.98),1.82,3.11
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,86.0,0.284,58.0,7,1,14.29,4.22 (NA-NA),6,85.71,3.03 (2.24-3.83),1.73,1.44
astrocytes 15,1401.0,0.081,45.0,96,11,11.46,3.50 (2.74-4.26),85,88.54,3.63 (3.12-4.14),3.48,3.84
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.247,92.0,124,6,4.84,3.79 (2.43-5.15),118,95.16,4.21 (3.80-4.62),3.06,3.03
astrocytes microglia 23,125.0,0.313,47.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,721.0,0.134,19.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39),2.53,6.20
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
